Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
ERR315466	HPA RNA-seq normal tissues	Illumina HiSeq 2000	29553	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315466/ERR315466.sra	ERR315466.sra	ERR315466_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315466/ERR315466_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315466/ERR315466_1.fastq.gz	ERR315466_1.fastq.gz	ERR315466_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315466	HPA RNA-seq normal tissues	Illumina HiSeq 2000	29553	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315466/ERR315466.sra	ERR315466.sra	ERR315466_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315466/ERR315466_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315466/ERR315466_2.fastq.gz	ERR315466_2.fastq.gz	ERR315466_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315383	HPA RNA-seq normal tissues	Illumina HiSeq 2000	36888	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315383/ERR315383.sra	ERR315383.sra	ERR315383_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315383/ERR315383_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315383/ERR315383_1.fastq.gz	ERR315383_1.fastq.gz	ERR315383_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315383	HPA RNA-seq normal tissues	Illumina HiSeq 2000	36888	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315383/ERR315383.sra	ERR315383.sra	ERR315383_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315383/ERR315383_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315383/ERR315383_2.fastq.gz	ERR315383_2.fastq.gz	ERR315383_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315329	HPA RNA-seq normal tissues	Illumina HiSeq 2000	27704	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315329/ERR315329.sra	ERR315329.sra	ERR315329_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315329/ERR315329_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315329/ERR315329_1.fastq.gz	ERR315329_1.fastq.gz	ERR315329_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315329	HPA RNA-seq normal tissues	Illumina HiSeq 2000	27704	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315329/ERR315329.sra	ERR315329.sra	ERR315329_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315329/ERR315329_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315329/ERR315329_2.fastq.gz	ERR315329_2.fastq.gz	ERR315329_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315417	HPA RNA-seq normal tissues	Illumina HiSeq 2000	22227	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315417/ERR315417.sra	ERR315417.sra	ERR315417_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315417/ERR315417_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315417/ERR315417_1.fastq.gz	ERR315417_1.fastq.gz	ERR315417_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315417	HPA RNA-seq normal tissues	Illumina HiSeq 2000	22227	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315417/ERR315417.sra	ERR315417.sra	ERR315417_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315417/ERR315417_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315417/ERR315417_2.fastq.gz	ERR315417_2.fastq.gz	ERR315417_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315372	HPA RNA-seq normal tissues	Illumina HiSeq 2000	32315	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315372/ERR315372.sra	ERR315372.sra	ERR315372_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315372/ERR315372_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315372/ERR315372_1.fastq.gz	ERR315372_1.fastq.gz	ERR315372_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315372	HPA RNA-seq normal tissues	Illumina HiSeq 2000	32315	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315372/ERR315372.sra	ERR315372.sra	ERR315372_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315372/ERR315372_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315372/ERR315372_2.fastq.gz	ERR315372_2.fastq.gz	ERR315372_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315380	HPA RNA-seq normal tissues	Illumina HiSeq 2000	31115	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315380/ERR315380.sra	ERR315380.sra	ERR315380_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315380/ERR315380_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315380/ERR315380_1.fastq.gz	ERR315380_1.fastq.gz	ERR315380_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315380	HPA RNA-seq normal tissues	Illumina HiSeq 2000	31115	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315380/ERR315380.sra	ERR315380.sra	ERR315380_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315380/ERR315380_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315380/ERR315380_2.fastq.gz	ERR315380_2.fastq.gz	ERR315380_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315386	HPA RNA-seq normal tissues	Illumina HiSeq 2000	15135	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315386/ERR315386.sra	ERR315386.sra	ERR315386_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315386/ERR315386_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315386/ERR315386_1.fastq.gz	ERR315386_1.fastq.gz	ERR315386_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315386	HPA RNA-seq normal tissues	Illumina HiSeq 2000	15135	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315386/ERR315386.sra	ERR315386.sra	ERR315386_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315386/ERR315386_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315386/ERR315386_2.fastq.gz	ERR315386_2.fastq.gz	ERR315386_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315367	HPA RNA-seq normal tissues	Illumina HiSeq 2000	30997	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315367/ERR315367.sra	ERR315367.sra	ERR315367_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315367/ERR315367_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315367/ERR315367_1.fastq.gz	ERR315367_1.fastq.gz	ERR315367_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315367	HPA RNA-seq normal tissues	Illumina HiSeq 2000	30997	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315367/ERR315367.sra	ERR315367.sra	ERR315367_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315367/ERR315367_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315367/ERR315367_2.fastq.gz	ERR315367_2.fastq.gz	ERR315367_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315480	HPA RNA-seq normal tissues	Illumina HiSeq 2000	30720	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315480/ERR315480.sra	ERR315480.sra	ERR315480_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315480/ERR315480_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315480/ERR315480_1.fastq.gz	ERR315480_1.fastq.gz	ERR315480_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315480	HPA RNA-seq normal tissues	Illumina HiSeq 2000	30720	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315480/ERR315480.sra	ERR315480.sra	ERR315480_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315480/ERR315480_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315480/ERR315480_2.fastq.gz	ERR315480_2.fastq.gz	ERR315480_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315423	HPA RNA-seq normal tissues	Illumina HiSeq 2000	19615	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315423/ERR315423.sra	ERR315423.sra	ERR315423_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315423/ERR315423_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315423/ERR315423_1.fastq.gz	ERR315423_1.fastq.gz	ERR315423_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315423	HPA RNA-seq normal tissues	Illumina HiSeq 2000	19615	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315423/ERR315423.sra	ERR315423.sra	ERR315423_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315423/ERR315423_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315423/ERR315423_2.fastq.gz	ERR315423_2.fastq.gz	ERR315423_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315396	HPA RNA-seq normal tissues	Illumina HiSeq 2000	33342	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315396/ERR315396.sra	ERR315396.sra	ERR315396_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315396/ERR315396_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315396/ERR315396_1.fastq.gz	ERR315396_1.fastq.gz	ERR315396_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315396	HPA RNA-seq normal tissues	Illumina HiSeq 2000	33342	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315396/ERR315396.sra	ERR315396.sra	ERR315396_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315396/ERR315396_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315396/ERR315396_2.fastq.gz	ERR315396_2.fastq.gz	ERR315396_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315483	HPA RNA-seq normal tissues	Illumina HiSeq 2000	18285	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315483/ERR315483.sra	ERR315483.sra	ERR315483_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315483/ERR315483_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315483/ERR315483_1.fastq.gz	ERR315483_1.fastq.gz	ERR315483_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315483	HPA RNA-seq normal tissues	Illumina HiSeq 2000	18285	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315483/ERR315483.sra	ERR315483.sra	ERR315483_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315483/ERR315483_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315483/ERR315483_2.fastq.gz	ERR315483_2.fastq.gz	ERR315483_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315494	HPA RNA-seq normal tissues	Illumina HiSeq 2000	33231	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315494/ERR315494.sra	ERR315494.sra	ERR315494_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315494/ERR315494_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315494/ERR315494_1.fastq.gz	ERR315494_1.fastq.gz	ERR315494_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315494	HPA RNA-seq normal tissues	Illumina HiSeq 2000	33231	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315494/ERR315494.sra	ERR315494.sra	ERR315494_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315494/ERR315494_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315494/ERR315494_2.fastq.gz	ERR315494_2.fastq.gz	ERR315494_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315376	HPA RNA-seq normal tissues	Illumina HiSeq 2000	27136	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315376/ERR315376.sra	ERR315376.sra	ERR315376_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315376/ERR315376_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315376/ERR315376_1.fastq.gz	ERR315376_1.fastq.gz	ERR315376_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315376	HPA RNA-seq normal tissues	Illumina HiSeq 2000	27136	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315376/ERR315376.sra	ERR315376.sra	ERR315376_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315376/ERR315376_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315376/ERR315376_2.fastq.gz	ERR315376_2.fastq.gz	ERR315376_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315355	HPA RNA-seq normal tissues	Illumina HiSeq 2000	32198	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315355/ERR315355.sra	ERR315355.sra	ERR315355_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315355/ERR315355_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315355/ERR315355_1.fastq.gz	ERR315355_1.fastq.gz	ERR315355_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315355	HPA RNA-seq normal tissues	Illumina HiSeq 2000	32198	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315355/ERR315355.sra	ERR315355.sra	ERR315355_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315355/ERR315355_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315355/ERR315355_2.fastq.gz	ERR315355_2.fastq.gz	ERR315355_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315371	HPA RNA-seq normal tissues	Illumina HiSeq 2000	22912	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315371/ERR315371.sra	ERR315371.sra	ERR315371_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315371/ERR315371_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315371/ERR315371_1.fastq.gz	ERR315371_1.fastq.gz	ERR315371_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315371	HPA RNA-seq normal tissues	Illumina HiSeq 2000	22912	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315371/ERR315371.sra	ERR315371.sra	ERR315371_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315371/ERR315371_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315371/ERR315371_2.fastq.gz	ERR315371_2.fastq.gz	ERR315371_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315463	HPA RNA-seq normal tissues	Illumina HiSeq 2000	31049	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315463/ERR315463.sra	ERR315463.sra	ERR315463_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315463/ERR315463_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315463/ERR315463_1.fastq.gz	ERR315463_1.fastq.gz	ERR315463_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315463	HPA RNA-seq normal tissues	Illumina HiSeq 2000	31049	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315463/ERR315463.sra	ERR315463.sra	ERR315463_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315463/ERR315463_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315463/ERR315463_2.fastq.gz	ERR315463_2.fastq.gz	ERR315463_HPA_RNA-seq_normal_tissues_2.fastq.gz
